row_id,chunk_id,title,domain,section,reasoning_type,final_reasoning_bucket,quality_band,difficulty_band,inferential_validity_band,q_length,a_length,ctx_length,ctx_sentence_count,answer_position_ratio,lexical_overlap_ratio,ttr_question,question_type,answer_type,popularity_source,knowledge_difficulty,page_views_rank,wiki_count_rank,statements_rank
0,103460033,Men gốm,culture,Lớp trung gian,multi-sentence,bridge,usable,easy,weak,27,37,214,8,0.8240837696335078,0.8095238095238095,0.7777777777777778,other,Proper Noun - Location,wiki_title,0.3133502306580056,0.7243178170144462,0.6512866015971606,0.682282793867121
1,11026860002,Chuyên chính vô sản,culture,Đặc điểm,multi-sentence,bridge,usable,easy,weak,26,7,244,7,0.4104882459312839,0.8695652173913043,0.8846153846153846,other,Common Noun Phrase,answer_entity,0.3682587411760764,0.9329855537720706,0.5070984915705412,0.5008517887563884
2,1109060002,Văn học Trung Quốc,culture,Các tác phẩm kinh điển,multi-sentence,bridge,usable,easy,weak,26,2,246,8,0.45323741007194246,0.7916666666666666,0.9230769230769231,other,Proper Noun - Organization,question_entity,0.3611627420534179,0.9610754414125201,0.5004436557231589,0.5008517887563884
3,1156770039,Đồ gốm,culture,Lịch sử,multi-sentence,bridge,usable,easy,weak,24,2,270,8,0.3579399141630901,0.9523809523809523,0.875,why,Common Noun Phrase,question_entity,0.404381040608795,0.8170144462279294,0.5004436557231589,0.5008517887563884
4,1156770042,Đồ gốm,culture,Đồ gốm thời kỳ đầu,multi-sentence,bridge,usable,medium,weak,17,15,240,9,0.6629213483146067,0.9411764705882353,1.0,other,Proper Noun - Location,answer_entity,0.39270367303255116,0.8559390048154093,0.5004436557231589,0.5008517887563884
5,117638010002,WeChoice Awards,culture,Quy trình đề cử,multi-sentence,bridge,usable,easy,weak,23,29,238,7,0.880184331797235,0.8095238095238095,0.9130434782608695,how,Proper Noun - Location,answer_entity,0.4970776698222782,0.5080256821829856,0.5004436557231589,0.5008517887563884
6,1301600010,Quá trình làm phim,culture,Hậu kỳ,multi-sentence,bridge,usable,easy,weak,23,7,200,7,0.6947141316073355,0.95,0.8695652173913043,when,Common Noun Phrase,wiki_title,0.42866595731118695,0.7937399678972713,0.4139307897071872,0.5008517887563884
7,134850440006,Công trình xanh,culture,Mục tiêu của tòa nhà xanh,multi-sentence,bridge,usable,easy,weak,37,4,240,7,0.2941712204007286,0.8611111111111112,0.972972972972973,other,Common Noun Phrase,question_entity,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
8,134850440014,Công trình xanh,culture,Hiệu quả về thiết kế và cấu trúc,multi-sentence,bridge,usable,easy,weak,31,4,235,9,0.20512820512820512,0.9230769230769231,0.8387096774193549,other,Common Noun Phrase,question_entity,0.08331618611280722,0.8848314606741573,0.8988464951197871,0.9122657580919932
9,136610740000,Mai Thế Hiệp,culture,Giới thiệu,multi-sentence,bridge,usable,easy,weak,25,1,196,6,0.5573419078242229,0.8260869565217391,0.92,when,Common Noun Phrase,question_entity,0.3579265477222414,0.7748796147672552,0.7959183673469388,0.5008517887563884
10,137519740012,Nhạc Hoa lời Việt,culture,Tiền đề trước 1975,multi-sentence,bridge,usable,easy,weak,20,21,248,5,0.8528896672504378,0.9,1.0,other,Proper Noun - Organization,answer_entity,0.39270367303255116,0.8559390048154093,0.5004436557231589,0.5008517887563884
11,1431030001,Áo tơi,culture,Đặc điểm,multi-sentence,bridge,usable,easy,weak,17,4,214,5,0.8033826638477801,0.8823529411764706,1.0,other,Proper Noun - Location,answer_entity,0.45397975649964584,0.651685393258427,0.5004436557231589,0.5008517887563884
12,1439860002,Thần đạo,culture,Tín ngưỡng,multi-sentence,bridge,usable,easy,weak,12,13,226,10,0.7041860465116279,0.8333333333333334,1.0,why,Proper Noun - Location,answer_entity,0.3126617002102029,0.9257624398073836,0.7959183673469388,0.5008517887563884
13,146711230001,Văn học tiếng Latinh,culture,Văn học Latinh sớm,multi-sentence,bridge,usable,easy,weak,22,5,245,11,0.6675485008818343,0.95,0.9090909090909091,other,Common Noun Phrase,wiki_title,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
14,147448260013,Môn cưỡi ngựa,culture,Lợi ích,multi-sentence,bridge,usable,easy,weak,18,10,215,7,0.9532338308457712,0.9375,0.8888888888888888,other,Proper Noun - Location,question_entity,0.4622863375590359,0.6239967897271268,0.5004436557231589,0.5008517887563884
15,147448260078,Môn cưỡi ngựa,culture,Tư thế cưỡi ngựa,multi-sentence,bridge,usable,easy,weak,23,9,241,10,0.5779981965734896,0.8695652173913043,1.0,other,Proper Noun - Location,wiki_title,0.4622863375590359,0.6239967897271268,0.5004436557231589,0.5008517887563884
16,147451730001,Chovgan,culture,Lịch sử,multi-sentence,bridge,usable,easy,weak,12,2,221,10,0.7997997997997998,0.8181818181818182,0.9166666666666666,other,Common Noun Phrase,question_entity,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
17,147571750002,Hội Long Hoa,culture,Phật giáo,multi-sentence,bridge,usable,easy,weak,20,3,241,8,0.9887850467289719,0.7894736842105263,0.95,how_many,Common Noun Phrase,question_entity,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
18,14850670003,YxineFF 2012,culture,Hành trình YxineFF 2012,multi-sentence,bridge,usable,easy,weak,18,2,196,7,0.2726269315673289,0.6111111111111112,1.0,how_many,Common Noun Phrase,wiki_title,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
19,148748490003,If You Tolerate This Your Children Will Be Next,culture,Phát hành,multi-sentence,bridge,usable,easy,weak,15,4,221,6,0.3959537572254335,0.7142857142857143,0.9333333333333333,how_many,Proper Noun - Location,question_entity,0.44808088009515135,0.6713483146067416,0.5004436557231589,0.5008517887563884
20,1510860001,Lý luận văn học,culture,Mục đích,multi-sentence,bridge,usable,easy,weak,20,19,234,8,0.6915708812260536,0.7777777777777778,0.9,other,Proper Noun - Organization,answer_entity,0.35706964414009523,0.9747191011235955,0.5004436557231589,0.5008517887563884
21,152373630001,Giờ vàng (nhiếp ảnh),culture,Chi tiết,multi-sentence,bridge,usable,easy,weak,28,13,234,7,0.38534728829686016,0.8260869565217391,0.8214285714285714,what,Proper Noun - Location,question_entity,0.45579076913137173,0.776083467094703,0.30479148181011534,0.5008517887563884
22,152727200001,Mai Lệ Huyền,culture,Lịch sử,multi-sentence,bridge,usable,easy,weak,19,4,203,8,0.9493534482758621,0.7894736842105263,1.0,other,Common Noun Phrase,question_entity,0.39270367303255116,0.8559390048154093,0.5004436557231589,0.5008517887563884
23,154680590014,Terracotta,culture,Ưu điểm trong điêu khắc,multi-sentence,bridge,usable,easy,weak,19,6,240,7,0.8192883895131086,0.7894736842105263,1.0,why,Proper Noun - Location,question_entity,0.5312068833054243,0.39426163723916535,0.5004436557231589,0.5008517887563884
24,156140003,Công an nhân dân Việt Nam,culture,Quá trình hình thành,multi-sentence,bridge,usable,easy,weak,16,15,239,7,0.5335221907459868,0.9375,1.0,other,Other,answer_entity,0.25775456881832015,0.9795345104333868,0.9897959183673469,0.5008517887563884
25,169251550002,Dương Yến Nhung,culture,Tiểu sử và sự nghiệp,multi-sentence,bridge,usable,easy,weak,24,7,221,6,0.369140625,0.9545454545454546,0.9166666666666666,other,Common Noun Phrase,answer_entity,0.5200110566601595,0.43158105939004815,0.5004436557231589,0.5008517887563884
26,191712540027,Eduard Streltsov,culture,Sau khi giải nghệ,multi-sentence,bridge,usable,easy,weak,12,2,212,11,0.14186507936507936,0.9166666666666666,1.0,other,Proper Noun - Person,question_entity,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
27,192698130003,Biên tập phim,culture,Lịch sử,multi-sentence,bridge,usable,easy,weak,13,4,200,9,0.4155005382131324,0.6923076923076923,1.0,other,Proper Noun - Location,wiki_section,0.2634385962153073,0.9670947030497592,0.9800354924578527,0.5008517887563884
28,194255500000,Văn học không tưởng,culture,Giới thiệu,multi-sentence,bridge,usable,easy,weak,23,37,218,5,0.4807692307692308,0.8947368421052632,0.8260869565217391,other,Proper Noun - Organization,answer_entity,0.2634385962153073,0.9670947030497592,0.9800354924578527,0.5008517887563884
29,194259060042,Truyện thơ Nôm,culture,Đặc điểm nghệ thuật,multi-sentence,bridge,usable,easy,weak,25,25,237,7,0.5070921985815603,0.96,1.0,other,Proper Noun - Location,answer_entity,0.5888022443614247,0.5296950240770465,0.009316770186335404,0.5008517887563884
30,194266200001,Trò đổ máu,culture,Tổng quan,multi-sentence,bridge,strong,easy,weak,21,4,246,8,0.17150635208711434,0.9444444444444444,0.8571428571428571,other,Common Noun Phrase,answer_entity,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
31,194365520005,Thủy ấn họa,culture,Quy trình làm,multi-sentence,bridge,usable,easy,weak,25,5,235,9,0.43374642516682554,0.9130434782608695,0.92,other,Common Noun Phrase,answer_entity,0.5888022443614247,0.5296950240770465,0.009316770186335404,0.5008517887563884
32,1945720053,Bánh mì Việt Nam,culture,An toàn vệ sinh thực phẩm,multi-sentence,bridge,usable,easy,weak,26,17,237,7,0.3739456419868791,0.8,0.9615384615384616,other,Proper Noun - Location,answer_entity,0.08331618611280722,0.8848314606741573,0.8988464951197871,0.9122657580919932
33,194799690002,Khuyết tật men,culture,Rạn nứt men,multi-sentence,bridge,usable,easy,weak,19,7,201,6,0.5605022831050228,0.7894736842105263,1.0,other,Proper Noun - Location,answer_entity,0.38066514975807275,0.8960674157303371,0.5004436557231589,0.5008517887563884
34,194807480000,Đạo diễn hình ảnh,culture,Giới thiệu,multi-sentence,bridge,usable,easy,weak,18,6,211,6,0.7701736465781409,0.7222222222222222,1.0,other,Proper Noun - Location,question_entity,0.45397975649964584,0.651685393258427,0.5004436557231589,0.5008517887563884
35,194850790002,Đồ gốm frit,culture,Lịch sử,multi-sentence,bridge,usable,easy,weak,18,8,212,8,0.5015416238437821,0.7777777777777778,1.0,other,Proper Noun - Location,question_entity,0.5653962894049428,0.28029695024077045,0.5004436557231589,0.5008517887563884
36,195280090001,Huỳnh Lập,culture,Tiểu sử,multi-sentence,bridge,usable,easy,weak,12,5,244,9,0.7325475974614687,0.5454545454545454,0.9166666666666666,other,Common Noun Phrase,question_entity,0.3185817624217019,0.930577849117175,0.7590949423247559,0.5008517887563884
37,195280090003,Huỳnh Lập,culture,Sự nghiệp,multi-sentence,bridge,usable,easy,weak,19,2,258,11,0.3283582089552239,0.9444444444444444,0.9473684210526315,other,Proper Noun - Person,question_entity,0.3185817624217019,0.930577849117175,0.7590949423247559,0.5008517887563884
38,195666390002,Humbucker,culture,Nguyên lí hoạt động,multi-sentence,bridge,usable,easy,weak,17,10,247,10,0.9344978165938864,0.6470588235294118,1.0,other,Proper Noun - Location,wiki_title,0.7017139186238439,0.15870786516853932,0.4139307897071872,0.23168654173764908
39,195675100002,Điều chỉnh âm tần,culture,Lược sử,multi-sentence,bridge,usable,easy,weak,8,13,228,10,0.6814159292035398,0.875,1.0,other,Proper Noun - Organization,wiki_title,0.7265861161294564,0.14365971107544143,0.4139307897071872,0.26490630323679726
40,195862040000,Giáo điều,culture,Giới thiệu,multi-sentence,bridge,usable,easy,weak,15,2,199,6,0.7386609071274298,0.6428571428571429,0.9333333333333333,other,Common Noun Phrase,question_entity,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
41,195929670001,Đức Mẹ Roudnice,culture,Bối cảnh và miêu tả,multi-sentence,bridge,usable,easy,weak,17,2,240,11,0.810172570390554,0.8823529411764706,1.0,who,Proper Noun - Person,wiki_title,0.4994251818608014,0.5002006420545746,0.5004436557231589,0.5008517887563884
42,1961970002,Bánh phu thê,culture,Nguyên liệu và quy trình thực hiện,multi-sentence,bridge,usable,easy,weak,26,2,238,13,0.3696682464454976,0.8695652173913043,0.8846153846153846,other,Number / Quantity,question_entity,0.5653962894049428,0.28029695024077045,0.5004436557231589,0.5008517887563884
43,196516290001,Ấn Độ giáo ở Việt Nam,culture,Lịch sử,multi-sentence,bridge,usable,easy,weak,25,17,238,8,0.7582314205079962,0.9130434782608695,0.92,other,Proper Noun - Location,answer_entity,0.383915551042182,0.8852327447833066,0.5004436557231589,0.5008517887563884
